"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"INSTR_ASSET";"Classe d'actifs passifs";"N1ON";"Actifs fixes et stocks (N11 + N12)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11MG";"Machines et équipement + systèmes d’armes (N113 + N114) (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11321G";"Matériel informatique (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11322G";"Matériel de communication (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11OG";"Autres machines et équipements + systèmes d’armes (N1139+N114) (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N";"Total des actifs non financiers"
"INSTR_ASSET";"Classe d'actifs passifs";"N11";"Actifs fixes par type d’actifs"
"INSTR_ASSET";"Classe d'actifs passifs";"N11K";"Constructions"
"INSTR_ASSET";"Classe d'actifs passifs";"N1121";"Bâtiments non résidentiels"
"INSTR_ASSET";"Classe d'actifs passifs";"N1";"Actifs non financiers produits"
"INSTR_ASSET";"Classe d'actifs passifs";"N111";"Logements"
"INSTR_ASSET";"Classe d'actifs passifs";"N1132";"Équipements TIC"
"INSTR_ASSET";"Classe d'actifs passifs";"N1122";"Autres ouvrages de génie civil"
"INSTR_ASSET";"Classe d'actifs passifs";"N112";"Autres bâtiments et ouvrages de génie civil"
"INSTR_ASSET";"Classe d'actifs passifs";"N1139";"Autres machines et équipements"
"INSTR_ASSET";"Classe d'actifs passifs";"N113";"Machines et équipements"
"INSTR_ASSET";"Classe d'actifs passifs";"N114";"Systèmes d’armes"
"INSTR_ASSET";"Classe d'actifs passifs";"N1131";"Matériels de transport"
"INSTR_ASSET";"Classe d'actifs passifs";"N115";"Ressources biologiques cultivées"
"INSTR_ASSET";"Classe d'actifs passifs";"N117";"Droits de propriété intellectuelle"
"INSTR_ASSET";"Classe d'actifs passifs";"N1171";"Recherche et développement"
"INSTR_ASSET";"Classe d'actifs passifs";"N1173";"Logiciels et bases de données"
"INSTR_ASSET";"Classe d'actifs passifs";"N2";"Actifs non financiers non produits"
"INSTR_ASSET";"Classe d'actifs passifs";"N21";"Ressources naturelles"
"INSTR_ASSET";"Classe d'actifs passifs";"N1174";"Œuvres récréatives, littéraires ou artistiques originales"
"INSTR_ASSET";"Classe d'actifs passifs";"N211";"Terrains"
"INSTR_ASSET";"Classe d'actifs passifs";"N1M";"Stocks et objets de valeur (N12 + N13)"
"INSTR_ASSET";"Classe d'actifs passifs";"N2111";"Terrains supportant des bâtiments et des ouvrages de génie civil"
"INSTR_ASSET";"Classe d'actifs passifs";"N2112";"Terrains cultivés"
"INSTR_ASSET";"Classe d'actifs passifs";"N23";"Achats moins ventes de fonds commerciaux et d’autres actifs commerciaux"
"INSTR_ASSET";"Classe d'actifs passifs";"N2119";"Autres terrains et plans d’eau"
"INSTR_ASSET";"Classe d'actifs passifs";"N2113";"Terrains et plans d’eau de loisirs"
"INSTR_ASSET";"Classe d'actifs passifs";"N22";"Contrats, baux et licences "
"INSTR_ASSET";"Classe d'actifs passifs";"N214";"Ressources en eau"
"INSTR_ASSET";"Classe d'actifs passifs";"NN";"Total des actifs non financiers (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N212";"Réserves de minerais et de produits énergétiques"
"INSTR_ASSET";"Classe d'actifs passifs";"N1N";"Actifs non financiers produits (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11N";"Actifs fixes par type d’actifs (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11KN";"Constructions (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N111N";"Logements (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N112N";"Autres bâtiments et ouvrages de génie civil (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1121N";"Bâtiments non résidentiels (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N113N";"Machines et équipements (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1122N";"Autres ouvrages de génie civil (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1132N";"Équipements TIC (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1131N";"Matériels de transport (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1139N";"Autres machines et équipements (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N114N";"Systèmes d’armes (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N117N";"Droits de propriété intellectuelle (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11MN";"Machines et équipement + systèmes d’armes (N113 + N114) (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11321N";"Matériel informatique (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1171N";"Recherche et développement (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11322N";"Matériel de communication (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N115N";"Ressources biologiques cultivées (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11ON";"Autres machines et équipements + systèmes d’armes (N1139+N114) (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1173N";"Logiciels et bases de données (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1174N";"Œuvres récréatives, littéraires ou artistiques originales (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N12N";"Stocks par type de stocks (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N13N";"Objets de valeur (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1MN";"Stocks et objets de valeur (N12 + N13) (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N21N";"Ressources naturelles (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N2N";"Actifs non financiers non produits (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N211N";"Terrains (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N2111N";"Terrains supportant des bâtiments et des ouvrages de génie civil (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N2112N";"Terrains cultivés (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N2113X2119N";"Autres terrains et plans d’eau associés (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N2113N";"Terrains et plans d’eau de loisirs (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N214N";"Ressources en eau (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N2119N";"Autres terrains et plans d’eau (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N21111N";"Terrains supportant des logements (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N21119N";"Autres terrains bâtis (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N22N";"Contrats, baux et licences  (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N212N";"Réserves de minerais et de produits énergétiques (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N23N";"Achats moins ventes de fonds commerciaux et d’autres actifs commerciaux (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N21ON";"Ressources biologiques non cultivées et ressources en eau (N213+N214)"
"INSTR_ASSET";"Classe d'actifs passifs";"N215N";"Autres ressources naturelles (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1172N";"Prospection minière et évaluation (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1179N";"Autres droits de propriété intellectuelle (net)"
"INSTR_ASSET";"Classe d'actifs passifs";"F298";"Intérêts courus non échus sur dépôts"
"INSTR_ASSET";"Classe d'actifs passifs";"F31_32";"Titres de créance à court et long terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F48";"Intérêts courus non échus sur crédits "
"INSTR_ASSET";"Classe d'actifs passifs";"F511X52";"Autres actifs liquides"
"INSTR_ASSET";"Classe d'actifs passifs";"F2M";"Dépôts"
"INSTR_ASSET";"Classe d'actifs passifs";"F2N";"Dépôts hors intérêts courus non échus"
"INSTR_ASSET";"Classe d'actifs passifs";"F7_8";"Produits financiers dérivés et options sur titres des salariés, Autres comptes à recevoir / à payer "
"INSTR_ASSET";"Classe d'actifs passifs";"CD";"Corrections pour le passage à la dette consolidée"
"INSTR_ASSET";"Classe d'actifs passifs";"DEDC";"Différence de champ entre les passifs des APU et la dette au sens de Maastricht"
"INSTR_ASSET";"Classe d'actifs passifs";"DETNET";"Dette nette"
"INSTR_ASSET";"Classe d'actifs passifs";"F38";"Intérêts courus non échus sur obligations"
"INSTR_ASSET";"Classe d'actifs passifs";"GD";"Dette au sens de Maastricht"
"INSTR_ASSET";"Classe d'actifs passifs";"VN";"Corrections pour passage à la valeur nominale de la dette"
"INSTR_ASSET";"Classe d'actifs passifs";"EV";"EV"
"MATURITY";"Maturité";"_Z";"Non applicable"
"MATURITY";"Maturité";"T";"Toutes maturités à l’origine"
"MATURITY";"Maturité";"L";"Maturité à l’origine de long terme (Plus d’un an ou non précisé)"
"MATURITY";"Maturité";"S";"Maturité à l’origine courte (jusqu’à 1 an)"
"OBS_STATUS";"Statut de l'observation";"P";"Valeur provisoire"
"OBS_STATUS";"Statut de l'observation";"A";"Normale"
"OBS_STATUS";"Statut de l'observation";"M";"Valeur manquante : les données n’existent pas (sans objet : so)"
"OBS_STATUS";"Statut de l'observation";"L";"Valeur manquante : les données existent mais ne sont pas collectées (non disponible : nd)"
"OBS_STATUS_FR";"Version";"PROV";"Provisoire"
"OBS_STATUS_FR";"Version";"SD";"Semi-définitif"
"OBS_STATUS_FR";"Version";"D";"Définitif"
"PRICES";"Valorisation des prix";"V";"En valeur aux prix courants"
"PRICES";"Valorisation des prix";"U";"Au coût de remplacement"
"PRICES";"Valorisation des prix";"_Z";"Non applicable"
"REF_SECTOR";"Secteur institutionnel";"S1";"Économie totale"
"REF_SECTOR";"Secteur institutionnel";"S14B";"Ménages hors entrepreneurs individuels"
"REF_SECTOR";"Secteur institutionnel";"S11";"Sociétés non financières"
"REF_SECTOR";"Secteur institutionnel";"S12";"Sociétés financières"
"REF_SECTOR";"Secteur institutionnel";"S12K64";"Sociétés financières : services principalement financiers, hors assurance"
"REF_SECTOR";"Secteur institutionnel";"S1314";"Administrations de sécurité sociale"
"REF_SECTOR";"Secteur institutionnel";"S12K65";"Sociétés financières : services principalement d’assurance"
"REF_SECTOR";"Secteur institutionnel";"S14";"Ménages"
"REF_SECTOR";"Secteur institutionnel";"S13";"Administrations publiques"
"REF_SECTOR";"Secteur institutionnel";"S15";"Institutions sans but lucratif au services des ménages"
"REF_SECTOR";"Secteur institutionnel";"S1311";"Administration centrale (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S13111";"État"
"REF_SECTOR";"Secteur institutionnel";"S13112";"Organismes divers d’administration centrale"
"REF_SECTOR";"Secteur institutionnel";"S1313";"Administrations locales (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S11X14AA";"Sociétés et entreprises individuelles non financières"
"REF_SECTOR";"Secteur institutionnel";"S12X14AF";"Sociétés et entreprises individuelles financières"
"REF_SECTOR";"Secteur institutionnel";"S14AA";"Entreprises individuelles non financières"
"REF_SECTOR";"Secteur institutionnel";"S13131";"Collectivités locales"
"REF_SECTOR";"Secteur institutionnel";"S13132";"Organismes divers d’administration locale"
"REF_SECTOR";"Secteur institutionnel";"S13142";"Organismes dépendants des assurances sociales"
"REF_SECTOR";"Secteur institutionnel";"S13141";"Régimes d’assurances sociales"
"REF_SECTOR";"Secteur institutionnel";"SZU";"Institutions de l’Union Européenne"
"REF_SECTOR";"Secteur institutionnel";"S1M";"Ménages et institutions sans but lucratif au services des ménages"
"REF_SECTOR";"Secteur institutionnel";"S12K66";"Sociétés financières : services principalement d’auxiliaires financiers"
"REF_SECTOR";"Secteur institutionnel";"S1312";"Administration d’états fédérés (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S2";"Reste du monde"
"REF_SECTOR";"Secteur institutionnel";"SBS";"Biens et services"
"REF_SECTOR";"Secteur institutionnel";"S10";"Total des secteurs résidents"
"REF_SECTOR";"Secteur institutionnel";"S1N";"Non sectorisé"
"REF_SECTOR";"Secteur institutionnel";"SZV";"Administrations publiques et institutions et organes de l’Union européenne"
"REF_SECTOR";"Secteur institutionnel";"S131311";"Communes"
"REF_SECTOR";"Secteur institutionnel";"S131312";"Départements"
"REF_SECTOR";"Secteur institutionnel";"S131313";"Régions"
"REF_SECTOR";"Secteur institutionnel";"S131314";"Syndicats"
"STO";"Opération comptable";"P1";"Production"
"STO";"Opération comptable";"P4";"Consommation finale effective"
"STO";"Opération comptable";"P2";"Consommation intermédiaire"
"STO";"Opération comptable";"P51G";"Formation brute de capital fixe"
"STO";"Opération comptable";"LE";"Clôture du bilan/positions/flux"
"STO";"Opération comptable";"LE_N";"Patrimoine en fin d'année"
"STO";"Opération comptable";"P52";"Variation des stocks"
"STO";"Opération comptable";"D1";"Rémunération des salariés"
"STO";"Opération comptable";"P6";"Exportations de biens et services"
"STO";"Opération comptable";"D11";"Salaires et traitements bruts"
"STO";"Opération comptable";"B1G";"Valeur ajoutée brute"
"STO";"Opération comptable";"P7";"Importations de biens et services"
"STO";"Opération comptable";"B2A3G";"Excédent brut d’exploitation et revenu mixte brut"
"STO";"Opération comptable";"B2G";"Excédent brut d’exploitation"
"STO";"Opération comptable";"B11";"Solde des échanges extérieurs de biens et services"
"STO";"Opération comptable";"P31";"Dépense de consommation individuelle"
"STO";"Opération comptable";"P32";"Dépense de consommation collective"
"STO";"Opération comptable";"F";"Flux d’actifs ou passifs"
"STO";"Opération comptable";"KA_ACTIFS_TOTAL";"Autres changements de volume et ajustements"
"STO";"Opération comptable";"K7_ACTIFS_TOTAL";"Réévaluation"
"STO";"Opération comptable";"D29";"Autres impôts sur la production"
"STO";"Opération comptable";"D291";"Impôts sur les salaires et la main d’œuvre"
"STO";"Opération comptable";"D292";"Impôts divers sur la production"
"STO";"Opération comptable";"P3";"Dépense de consommation finale"
"STO";"Opération comptable";"P53";"Acquisitions moins cessions d’objets de valeur"
"STO";"Opération comptable";"D3";"Subventions"
"STO";"Opération comptable";"D121";"Cotisations sociales effectives à la charge des employeurs"
"STO";"Opération comptable";"D31";"Subventions sur les produits"
"STO";"Opération comptable";"D122";"Cotisations sociales imputées à la charge des employeurs"
"STO";"Opération comptable";"B3G";"Revenu mixte brut"
"STO";"Opération comptable";"D39";"Autres subventions sur la production"
"STO";"Opération comptable";"D2";"Impôts sur la production et les importations"
"STO";"Opération comptable";"D4";"Revenus de la propriété"
"STO";"Opération comptable";"D7";"Autres transferts courants"
"STO";"Opération comptable";"D21";"Impôts sur les produits"
"STO";"Opération comptable";"B5GQ";"Revenu national brut"
"STO";"Opération comptable";"B6GQ";"Revenu national disponible brut"
"STO";"Opération comptable";"B9";"Capacité (+) ou besoin (-) de financement"
"STO";"Opération comptable";"P131";"Paiements au titre de la production non marchande"
"STO";"Opération comptable";"P1O";"Production marchande, production pour emploi final propre et paiements au titre de la production non marchande"
"STO";"Opération comptable";"P1M";"Production marchande et production pour usage final propre"
"STO";"Opération comptable";"B1GQ";"Produit intérieur brut"
"STO";"Opération comptable";"P132";"Autre production non marchande"
"STO";"Opération comptable";"P11";"Production marchande"
"STO";"Opération comptable";"P12";"Production pour usage final propre"
"STO";"Opération comptable";"P5L";"Acquisition nette d’actifs non financiers"
"STO";"Opération comptable";"P5K";"Autres acquisitions moins cessions d’actifs non financiers"
"STO";"Opération comptable";"P5M";"Variation stocks + Acquis, moins cessions objets valeur (OPP52+OPP53)"
"STO";"Opération comptable";"D41";"Intérêts"
"STO";"Opération comptable";"D41G";"Intérêts bruts de correction SIFIM"
"STO";"Opération comptable";"D4N";"Autres revenus de la propriété (D42 + D43 + D44 + D45)"
"STO";"Opération comptable";"D441";"Revenus d’investissements attribués aux assurés"
"STO";"Opération comptable";"D42";"Revenus distribués des sociétés"
"STO";"Opération comptable";"D443";"Revenus d’investissements attribués aux détenteurs de parts de fonds d’investissement"
"STO";"Opération comptable";"D5";"Impôts courants sur le revenu, le patrimoine, etc."
"STO";"Opération comptable";"D421";"Dividendes"
"STO";"Opération comptable";"D43";"Bénéfices réinvestis d’investissements directs étrangers"
"STO";"Opération comptable";"D44";"Revenus d’investissements"
"STO";"Opération comptable";"D51M";"Impôts sur le revenu des personnes physiques ou des ménages, y compris les gains de détention (D51a + D51c1)"
"STO";"Opération comptable";"D632";"Transferts sociaux en nature – production marchande achetée"
"STO";"Opération comptable";"D51O";"Impôts sur le revenu ou les bénéfices des sociétés, y compris les gains de détention (D51b + D51c2)"
"STO";"Opération comptable";"D45";"Loyers"
"STO";"Opération comptable";"D61";"Cotisations sociales nettes"
"STO";"Opération comptable";"D612";"Cotisations sociales imputées à la charge des employeurs"
"STO";"Opération comptable";"D71";"Primes nettes d’assurance-dommages"
"STO";"Opération comptable";"D62";"Prestations sociales autres que transferts sociaux en nature"
"STO";"Opération comptable";"D72";"Indemnités d’assurance-dommages"
"STO";"Opération comptable";"D73";"Transferts courants entre administrations publiques"
"STO";"Opération comptable";"D75";"Transferts courants divers"
"STO";"Opération comptable";"D76";"Ressources propres de l’UE fondées sur la TVA et le RNB"
"STO";"Opération comptable";"D74";"Coopération internationale courante"
"STO";"Opération comptable";"OTE";"Total des dépenses des administrations publiques"
"STO";"Opération comptable";"D91";"Impôts en capital"
"STO";"Opération comptable";"D91R";"Impôts en capital à recevoir"
"STO";"Opération comptable";"OTR";"Total des recettes des administrations publiques"
"STO";"Opération comptable";"D99P";"Autres transferts en capital à payer"
"STO";"Opération comptable";"D99R";"Autres transferts en capital à recevoir"
"STO";"Opération comptable";"B8G";"Épargne brute"
"STO";"Opération comptable";"P5";"Formation brute de capital/Formation nette de capital"
"STO";"Opération comptable";"D995";"Transferts en capital pour admissions en non valeur"
"STO";"Opération comptable";"D995R";"Transferts en capital pour admissions en non valeur à recevoir"
"STO";"Opération comptable";"ACTIF";"Actif non classé ailleurs"
"STO";"Opération comptable";"KA_ACTIF";"Actif non classé ailleurs en autres changements de volume et ajustements"
"STO";"Opération comptable";"ACTIFS_TOTAL";"Flux d’actifs"
"STO";"Opération comptable";"D12";"Cotisations sociales à la charge des employeurs"
"STO";"Opération comptable";"D2X3";"Impôts sur production et importations, moins subventions (D2+D3)"
"STO";"Opération comptable";"K7_ACTIF";"Actif non classé ailleurs en gains/pertes nominaux de détention"
"STO";"Opération comptable";"KA_P5";"Formation brute de capital/Formation nette de capital en autres changements de volume et ajustements"
"STO";"Opération comptable";"K7_P5";"Formation brute de capital/Formation nette de capital en gains/pertes nominaux de détention"
"STO";"Opération comptable";"K7_P51G";"Formation brute de capital fixe en gains/pertes nominaux de détention"
"STO";"Opération comptable";"P51C";"Consommation de capital fixe"
"STO";"Opération comptable";"KA_P52";"Variation des stocks en autres changements de volume et ajustements"
"STO";"Opération comptable";"K7_P52";"Variation des stocks en gains/pertes nominaux de détention"
"STO";"Opération comptable";"K7_P53";"Acquisitions moins cessions d’objets de valeur en gains/pertes nominaux de détention"
"STO";"Opération comptable";"D11X613CE";"Salaires et traitements nets"
"STO";"Opération comptable";"B5G";"Solde brut des revenus primaires"
"STO";"Opération comptable";"P72";"Importations de services"
"STO";"Opération comptable";"D613CE";"Cotisations sociales effectives obligatoires à la charge des salariés"
"STO";"Opération comptable";"B6G";"Revenu disponible brut"
"STO";"Opération comptable";"D613NSI";"Cotisations des non salariés"
"STO";"Opération comptable";"B7G";"Revenu disponible brut ajusté"
"STO";"Opération comptable";"D21X31";"Impôts moins subventions sur les produits (D21+D31)"
"STO";"Opération comptable";"D63";"Transferts sociaux en nature"
"STO";"Opération comptable";"D9PXR";"Transferts en capital reçus diminués des transferts versés"
"STO";"Opération comptable";"D4NET";"Revenus de la propriété reçus diminués des revenus versés"
"STO";"Opération comptable";"D9P";"Transferts en capital à payer"
"STO";"Opération comptable";"D29X39";"Autres impôts sur la production moins autres subventions sur la production"
"STO";"Opération comptable";"B2A3N";"Excédent d’exploitation/revenu mixte net de CCF"
"STO";"Opération comptable";"D9R";"Transferts en capital à recevoir"
"STO";"Opération comptable";"P61";"Exportations de biens"
"STO";"Opération comptable";"P62";"Exportation de services"
